,combo-id,inst-id,file-name,stripe-thresh-cov-zero,file-subpaths
220,2,2-21,2-21.png,134.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-21.png']"
221,2,2-22,2-22.png,0.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-22.png']"
222,2,2-23,2-23.png,151.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-23.png']"
223,2,2-24,2-24.png,747.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-24.png']"
224,2,2-25,2-25.png,240.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-25.png']"
225,2,2-26,2-26.png,368.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-26.png']"
226,2,2-27,2-27.png,33.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-27.png']"
227,2,2-28,2-28.png,50.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-28.png']"
228,2,2-29,2-29.png,389.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-29.png']"
229,2,2-30,2-30.png,3.0,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-30.png']"
