,combo-id,inst-id,file-name,stripe-thresh-cov-zero
220,2,2-21,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-21.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-21.png']",26.0
221,2,2-22,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-22.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-22.png']",60.0
222,2,2-23,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-23.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-23.png']",508.0
223,2,2-24,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-24.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-24.png']",17.0
224,2,2-25,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-25.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-25.png']",174.0
225,2,2-26,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-26.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-26.png']",595.0
226,2,2-27,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-27.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-27.png']",99.0
227,2,2-28,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-28.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-28.png']",48.0
228,2,2-29,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-29.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-29.png']",215.0
229,2,2-30,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-30.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-30.png']",246.0
